Player ,matches,balls_faced,innings,runs,4s,6s,bat_average,bat_strike,balls_bowled,wickets,overs,runs_conceded,bowl_econ,catches
TG Southee,40,91,13,115,8,4,8.85,126.37,932,28,148,1245,8.41,17
TK Curran,10,91,8,106,8,3,13.25,116.48,180,9,30,316,10.53,2
TL Suman,40,587,39,676,55,26,17.33,115.16,152,6,25,195,7.8,10
TM Dilshan,50,1047,50,1153,140,24,23.06,110.12,275,5,46,361,7.85,20
TM Dilshan (sub),0,0,0,0,0,0,0,0,0,0,0,0,0,1
TM Head,10,151,10,205,12,8,20.5,135.76,48,2,9,81,9,3
TM Srivastava,3,11,3,8,0,0,2.67,72.73,0,0,0,0,0,2
TP Sudhindra,3,0,0,0,0,0,0,0,74,1,12,132,11,0
TR Birt,5,59,5,75,9,2,15,127.12,0,0,0,0,0,0
TS Mills,5,11,3,8,0,1,2.67,72.73,111,5,18,144,8,1
TU Deshpande,5,12,2,21,2,1,10.5,175,110,3,17,184,10.82,1
Tejas Baroka,1,0,0,0,0,0,0,0,21,0,4,33,8.25,0
U Kaul,1,1,1,0,0,0,0,0,0,0,0,0,0,2
UA Birla,1,15,1,7,1,0,7,46.67,0,0,0,0,0,1
UBT Chand,20,314,20,300,32,9,15,95.54,0,0,0,0,0,8
UBT Chand (sub),0,0,0,0,0,0,0,0,0,0,0,0,0,1
UT Khawaja,6,105,6,127,14,3,21.17,120.95,0,0,0,0,0,1
UT Yadav,120,135,34,122,11,4,3.59,90.37,2642,119,422,3446,8.17,29
Umar Gul,6,19,4,39,1,5,9.75,205.26,153,12,23,166,7.22,0
V Kohli,185,4609,184,5878,504,202,31.95,127.53,264,4,43,354,8.23,76
V Pratap Singh,9,1,1,0,0,0,0,0,211,10,34,289,8.5,0
V Sehwag,104,1833,104,2728,334,106,26.23,148.83,138,6,23,233,10.13,34
V Shankar,37,528,32,654,44,25,20.44,123.86,176,6,28,216,7.71,18
V Shankar (sub),0,0,0,0,0,0,0,0,0,0,0,0,0,4
VH Zol,2,26,2,29,3,1,14.5,111.54,0,0,0,0,0,0
VR Aaron,48,73,12,50,2,2,4.17,68.49,1032,42,163,1352,8.29,3
VRV Singh,18,3,2,4,1,0,2,133.33,371,12,60,531,8.85,3
VS Malik,13,7,2,7,1,0,3.5,100,212,6,35,254,7.26,2
VS Yeligati,2,2,1,2,0,0,2,100,32,0,5,53,10.6,0
VVS Laxman,20,271,20,282,33,5,14.1,104.06,0,0,0,0,0,4
VY Mahesh,17,28,5,15,0,0,3,53.57,359,21,58,478,8.24,6
Vishnu Vinod,3,26,3,19,1,1,6.33,73.08,0,0,0,0,0,0
W Jaffer,8,129,8,130,14,3,16.25,100.78,0,0,0,0,0,4
WA Mota,10,76,8,56,2,0,7,73.68,75,4,12,94,7.83,5
WD Parnell,26,80,12,63,4,1,5.25,78.75,601,26,97,651,6.71,5
WD Parnell (sub),0,0,0,0,0,0,0,0,0,0,0,0,0,1
WP Saha,99,1541,97,1979,184,64,20.4,128.42,0,0,0,0,0,62
WP Saha (sub),0,0,0,0,0,0,0,0,0,0,0,0,0,1
WPUJC Vaas,13,73,11,81,2,3,7.36,110.96,288,18,48,345,7.19,0
Washington Sundar,35,154,21,186,15,6,8.86,120.78,660,24,109,739,6.78,7
X Thalaivan Sargunam,1,17,1,10,0,0,10,58.82,0,0,0,0,0,0
Y Gnaneswara Rao,2,18,1,19,3,0,19,105.56,6,0,1,7,7,2
Y Nagar,20,271,20,285,20,9,14.25,105.17,72,4,11,117,10.64,6
Y Nagar (sub),0,0,0,0,0,0,0,0,0,0,0,0,0,2
Y Prithvi Raj,2,1,1,0,0,0,0,0,33,1,5,54,10.8,0
Y Venugopal Rao,57,865,52,985,77,37,18.94,113.87,222,6,36,329,9.14,13
YA Abdulla,11,1,1,0,0,0,0,0,222,15,35,294,8.4,0
YBK Jaiswal,3,44,3,40,2,2,13.33,90.91,0,0,0,0,0,1
YK Pathan,162,2330,153,3204,262,159,20.94,137.51,1184,42,193,1372,7.11,43
YS Chahal,98,54,14,22,0,0,1.57,40.74,2188,121,359,2649,7.38,20
YV Takawale,10,183,10,192,26,3,19.2,104.92,0,0,0,0,0,13
Yashpal Singh,4,67,4,47,5,0,11.75,70.15,0,0,0,0,0,3
Younis Khan,1,7,1,3,0,0,3,42.86,0,0,0,0,0,1
Yuvraj Singh,129,2205,126,2750,217,149,21.83,124.72,882,36,146,1064,7.29,31
Z Khan,99,141,27,117,11,2,4.33,82.98,2276,102,371,2691,7.25,21
